"Edad","Genero","CasaPropia","EstadoCiv","Ubicación","Salario","Niños","Historia","Catalogos","MontoDinero","","Salario","MontoDinero"
"Joven","Mujer","Alquilada","Casado","Cerca","13800","0","Baja","18","363","","13800","363"
"Joven","Mujer","Alquilada","Soltero","Lejos","14500","1","Baja","6","222","","14500","222"
"Joven","Hombre","Alquilada","Soltero","Cerca","21300","0","Baja","24","677","","21300","677"
"Mayor","Hombre","Alquilada","Soltero","Cerca","29000","0","Baja","6","482","","29000","482"
"Mayor","Mujer","Alquilada","Soltero","Cerca","14600","1","Baja","24","385","","14600","385"
"Mayor","Hombre","Propia","Soltero","Cerca","65300","0","Alta","18","1443","","65300","1443"
"Adulto","Mujer","Propia","Casado","Cerca","100800","1","Alta","24","1789","","100800","1789"
"Joven","Mujer","Alquilada","Soltero","Lejos","19800","1","Baja","24","991","","19800","991"
"Adulto","Hombre","Propia","Soltero","Cerca","56700","2","Baja","18","536","","56700","536"
"Mayor","Hombre","Alquilada","Casado","Cerca","90200","0","Alta","18","2183","","90200","2183"
"Joven","Hombre","Alquilada","Soltero","Cerca","26100","1","NA","6","494","","26100","494"
"Joven","Mujer","Alquilada","Soltero","Cerca","15900","0","Baja","18","503","","15900","503"
"Joven","Mujer","Alquilada","Soltero","Cerca","12700","3","Baja","12","87","","12700","87"
"Adulto","Hombre","Alquilada","Soltero","Cerca","43200","0","NA","24","917","","43200","917"
"Adulto","Mujer","Alquilada","Casado","Cerca","114100","1","NA","24","1976","","114100","1976"
"Adulto","Hombre","Propia","Casado","Cerca","96100","3","Baja","12","316","","96100","316"
"Adulto","Hombre","Propia","Casado","Cerca","97200","0","NA","12","1634","","97200","1634"
"Adulto","Hombre","Propia","Casado","Lejos","82400","2","Alta","24","2035","","82400","2035"
"Mayor","Hombre","Propia","Soltero","Lejos","62000","0","Alta","24","3293","","62000","3293"
"Joven","Mujer","Alquilada","Soltero","Cerca","13400","1","Baja","12","143","","13400","143"
"Adulto","Hombre","Propia","Casado","Cerca","108200","3","Baja","12","635","","108200","635"
"Joven","Mujer","Propia","Casado","Cerca","76200","0","Alta","12","979","","76200","979"
"Adulto","Hombre","Alquilada","Casado","Cerca","81800","1","Alta","18","1838","","81800","1838"
"Joven","Mujer","Alquilada","Soltero","Lejos","12000","0","Baja","6","264","","12000","264"
"Adulto","Hombre","Propia","Casado","Cerca","76100","0","NA","6","719","","76100","719"
"Adulto","Hombre","Propia","Casado","Cerca","82100","1","Alta","18","1308","","82100","1308"
"Mayor","Mujer","Propia","Casado","Cerca","103300","0","Alta","24","3378","","103300","3378"
"Joven","Hombre","Alquilada","Soltero","Cerca","14200","1","NA","24","400","","14200","400"
"Adulto","Mujer","Propia","Soltero","Lejos","47500","0","Alta","6","847","","47500","847"
"Joven","Mujer","Alquilada","Soltero","Cerca","31300","1","Baja","6","357","","31300","357"
"Joven","Mujer","Alquilada","Casado","Lejos","32700","1","NA","18","1276","","32700","1276"
"Adulto","Hombre","Propia","Casado","Cerca","72200","0","Alta","24","2492","","72200","2492"
"Adulto","Mujer","Propia","Casado","Cerca","107600","2","Media","12","1512","","107600","1512"
"Adulto","Hombre","Propia","Casado","Cerca","109900","2","Media","12","870","","109900","870"
"Adulto","Mujer","Propia","Casado","Cerca","65400","2","Media","24","938","","65400","938"
"Mayor","Mujer","Propia","Soltero","Cerca","43300","0","NA","12","1584","","43300","1584"
"Mayor","Mujer","Propia","Soltero","Cerca","51900","0","Media","12","1148","","51900","1148"
"Adulto","Mujer","Propia","Casado","Lejos","80600","0","Alta","24","2840","","80600","2840"
"Adulto","Mujer","Alquilada","Soltero","Cerca","42700","0","Media","12","827","","42700","827"
"Joven","Hombre","Alquilada","Soltero","Lejos","19000","0","NA","12","428","","19000","428"
"Joven","Mujer","Alquilada","Soltero","Cerca","14500","1","Baja","6","183","","14500","183"
"Adulto","Mujer","Propia","Casado","Cerca","68200","1","NA","6","818","","68200","818"
"Joven","Hombre","Alquilada","Casado","Cerca","36700","0","Media","12","731","","36700","731"
"Mayor","Hombre","Propia","Casado","Lejos","54600","0","Alta","24","2163","","54600","2163"
"Adulto","Hombre","Propia","Casado","Cerca","65900","1","Media","12","1081","","65900","1081"
"Joven","Hombre","Propia","Soltero","Lejos","39600","0","NA","12","1085","","39600","1085"
"Joven","Hombre","Alquilada","Casado","Lejos","67300","3","NA","6","1212","","67300","1212"
"Adulto","Hombre","Propia","Soltero","Cerca","59700","1","NA","18","1422","","59700","1422"
"Adulto","Mujer","Propia","Casado","Lejos","102800","2","Alta","18","2238","","102800","2238"
"Adulto","Mujer","Alquilada","Soltero","Cerca","34700","0","NA","18","1615","","34700","1615"
"Adulto","Hombre","Propia","Soltero","Cerca","50600","3","NA","6","713","","50600","713"
"Adulto","Hombre","Alquilada","Casado","Cerca","106700","2","Media","6","607","","106700","607"
"Adulto","Hombre","Alquilada","Soltero","Cerca","53900","1","Media","6","735","","53900","735"
"Joven","Mujer","Alquilada","Casado","Cerca","25500","2","Baja","6","139","","25500","139"
"Joven","Hombre","Alquilada","Casado","Lejos","46300","1","Media","18","1357","","46300","1357"
"Mayor","Hombre","Propia","Casado","Cerca","55500","0","Media","18","858","","55500","858"
"Joven","Mujer","Propia","Soltero","Cerca","27800","3","NA","12","408","","27800","408"
"Adulto","Hombre","Propia","Casado","Cerca","118600","1","NA","12","1553","","118600","1553"
"Adulto","Mujer","Propia","Casado","Cerca","130700","3","NA","6","2070","","130700","2070"
"Mayor","Hombre","Alquilada","Soltero","Cerca","42800","0","Media","12","922","","42800","922"
"Adulto","Mujer","Propia","Casado","Lejos","118300","1","Alta","12","2502","","118300","2502"
"Joven","Mujer","Alquilada","Soltero","Lejos","25600","2","NA","18","426","","25600","426"
"Adulto","Hombre","Alquilada","Casado","Cerca","63500","2","NA","24","2321","","63500","2321"
"Mayor","Mujer","Propia","Soltero","Cerca","30900","0","Media","18","862","","30900","862"
"Adulto","Hombre","Propia","Soltero","Cerca","55900","1","NA","24","2555","","55900","2555"
"Adulto","Hombre","Propia","Soltero","Lejos","53900","0","NA","12","1186","","53900","1186"
"Mayor","Hombre","Propia","Casado","Cerca","84300","0","Alta","24","2842","","84300","2842"
"Mayor","Hombre","Propia","Soltero","Cerca","53400","1","Media","12","886","","53400","886"
"Adulto","Hombre","Propia","Casado","Cerca","96900","1","Alta","12","1420","","96900","1420"
"Adulto","Hombre","Alquilada","Soltero","Lejos","55800","1","NA","6","821","","55800","821"
"Joven","Mujer","Alquilada","Casado","Cerca","25900","1","Baja","6","242","","25900","242"
"Joven","Mujer","Alquilada","Soltero","Cerca","22000","1","Baja","12","472","","22000","472"
"Adulto","Mujer","Alquilada","Casado","Cerca","96700","2","Media","12","1231","","96700","1231"
"Adulto","Mujer","Alquilada","Soltero","Cerca","40200","1","NA","12","881","","40200","881"
"Mayor","Hombre","Propia","Casado","Cerca","26800","0","Baja","12","435","","26800","435"
"Joven","Mujer","Alquilada","Soltero","Cerca","16700","2","Baja","12","108","","16700","108"
"Joven","Mujer","Alquilada","Casado","Cerca","40900","2","Baja","18","576","","40900","576"
"Joven","Hombre","Alquilada","Casado","Lejos","41500","3","NA","24","1314","","41500","1314"
"Joven","Hombre","Alquilada","Soltero","Cerca","20900","0","NA","6","296","","20900","296"
"Joven","Mujer","Alquilada","Casado","Cerca","69700","2","Media","6","584","","69700","584"
"Adulto","Hombre","Alquilada","Soltero","Cerca","61800","0","Alta","24","1156","","61800","1156"
"Adulto","Hombre","Propia","Casado","Cerca","102500","1","Alta","24","2464","","102500","2464"
"Adulto","Mujer","Propia","Casado","Cerca","48900","3","NA","18","915","","48900","915"
"Adulto","Hombre","Propia","Soltero","Cerca","60300","0","NA","24","2091","","60300","2091"
"Joven","Hombre","Alquilada","Casado","Lejos","41600","0","Alta","24","1690","","41600","1690"
"Adulto","Hombre","Propia","Soltero","Cerca","73700","1","Media","12","1274","","73700","1274"
"Joven","Mujer","Alquilada","Soltero","Cerca","27000","1","NA","24","1012","","27000","1012"
"Adulto","Mujer","Alquilada","Soltero","Cerca","43700","0","Media","12","950","","43700","950"
"Joven","Hombre","Alquilada","Soltero","Cerca","10200","2","NA","12","333","","10200","333"
"Adulto","Mujer","Propia","Casado","Cerca","63300","2","Media","24","679","","63300","679"
"Joven","Mujer","Propia","Soltero","Lejos","33200","2","Media","12","607","","33200","607"
"Mayor","Mujer","Propia","Casado","Lejos","78800","0","Alta","18","3398","","78800","3398"
"Adulto","Hombre","Propia","Casado","Cerca","82500","0","Alta","6","859","","82500","859"
"Adulto","Hombre","Propia","Soltero","Lejos","80800","2","Alta","18","2444","","80800","2444"
"Adulto","Hombre","Propia","Casado","Cerca","88100","2","Media","24","1078","","88100","1078"
"Adulto","Hombre","Alquilada","Casado","Lejos","124800","3","Alta","18","2537","","124800","2537"
"Joven","Hombre","Propia","Soltero","Cerca","31900","0","Media","6","616","","31900","616"
"Adulto","Mujer","Propia","Soltero","Cerca","53300","3","NA","6","508","","53300","508"
"Mayor","Hombre","Propia","Casado","Lejos","15400","0","Baja","6","297","","15400","297"
"Adulto","Hombre","Propia","Casado","Cerca","70200","0","NA","6","1583","","70200","1583"
"Joven","Mujer","Alquilada","Soltero","Cerca","23000","3","Baja","6","79","","23000","79"
"Adulto","Mujer","Propia","Casado","Cerca","82400","2","Media","18","657","","82400","657"
"Adulto","Mujer","Propia","Casado","Cerca","97900","0","Alta","24","2149","","97900","2149"
"Mayor","Mujer","Alquilada","Casado","Lejos","88400","0","Alta","18","3632","","88400","3632"
"Adulto","Mujer","Propia","Casado","Cerca","86900","0","Alta","18","2230","","86900","2230"
"Adulto","Mujer","Propia","Soltero","Cerca","45100","1","Media","12","448","","45100","448"
"Adulto","Hombre","Alquilada","Soltero","Cerca","41800","3","Baja","24","301","","41800","301"
"Mayor","Hombre","Propia","Casado","Cerca","74800","0","Alta","18","1968","","74800","1968"
"Adulto","Mujer","Alquilada","Casado","Cerca","73000","1","Media","6","490","","73000","490"
"Adulto","Hombre","Propia","Casado","Cerca","118500","1","Alta","24","3063","","118500","3063"
"Adulto","Hombre","Propia","Soltero","Cerca","65300","3","Baja","6","193","","65300","193"
"Adulto","Mujer","Alquilada","Casado","Cerca","66300","2","Media","12","544","","66300","544"
"Adulto","Hombre","Propia","Casado","Lejos","103900","1","Alta","24","2666","","103900","2666"
"Adulto","Mujer","Propia","Casado","Cerca","71900","0","Alta","18","1846","","71900","1846"
"Adulto","Hombre","Propia","Casado","Lejos","86100","1","NA","12","1255","","86100","1255"
"Adulto","Hombre","Propia","Casado","Cerca","96300","1","Alta","12","1081","","96300","1081"
"Joven","Mujer","Alquilada","Soltero","Cerca","10200","3","NA","6","199","","10200","199"
"Adulto","Hombre","Propia","Casado","Cerca","96300","2","NA","18","3916","","96300","3916"
"Mayor","Mujer","Propia","Soltero","Lejos","24000","1","Baja","6","357","","24000","357"
"Adulto","Mujer","Alquilada","Casado","Cerca","46700","0","Media","24","983","","46700","983"
"Adulto","Mujer","Alquilada","Soltero","Cerca","53700","2","NA","12","1194","","53700","1194"
"Adulto","Hombre","Alquilada","Casado","Cerca","108300","2","NA","12","2224","","108300","2224"
"Joven","Mujer","Alquilada","Soltero","Cerca","12100","1","Baja","6","90","","12100","90"
"Joven","Hombre","Alquilada","Casado","Cerca","36600","0","NA","6","587","","36600","587"
"Mayor","Hombre","Propia","Casado","Cerca","66300","0","Alta","12","1088","","66300","1088"
"Joven","Mujer","Propia","Soltero","Cerca","33400","1","NA","6","617","","33400","617"
"Adulto","Hombre","Propia","Casado","Lejos","70000","1","NA","6","1227","","70000","1227"
"Adulto","Mujer","Propia","Soltero","Cerca","47900","1","Media","24","662","","47900","662"
"Adulto","Mujer","Alquilada","Casado","Cerca","40500","2","Baja","18","622","","40500","622"
"Mayor","Hombre","Propia","Soltero","Cerca","69100","0","Alta","12","1477","","69100","1477"
"Joven","Mujer","Alquilada","Soltero","Cerca","13300","1","NA","6","236","","13300","236"
"Adulto","Mujer","Alquilada","Casado","Lejos","75800","1","Alta","12","1830","","75800","1830"
"Adulto","Mujer","Alquilada","Casado","Cerca","48600","0","Media","24","1583","","48600","1583"
"Mayor","Mujer","Propia","Soltero","Cerca","39600","0","Media","12","610","","39600","610"
"Joven","Mujer","Alquilada","Soltero","Cerca","11700","0","Baja","12","193","","11700","193"
"Joven","Hombre","Alquilada","Casado","Cerca","52600","1","Media","12","1052","","52600","1052"
"Joven","Hombre","Alquilada","Soltero","Cerca","14600","3","NA","6","307","","14600","307"
"Mayor","Hombre","Propia","Casado","Cerca","123000","0","Alta","24","3671","","123000","3671"
"Mayor","Mujer","Alquilada","Casado","Lejos","64600","0","Alta","18","2206","","64600","2206"
"Adulto","Mujer","Propia","Soltero","Lejos","34600","2","Media","18","748","","34600","748"
"Adulto","Hombre","Propia","Casado","Cerca","74500","0","Alta","6","1481","","74500","1481"
"Mayor","Hombre","Propia","Casado","Cerca","56600","0","NA","24","1607","","56600","1607"
"Mayor","Mujer","Alquilada","Soltero","Cerca","37000","1","NA","6","632","","37000","632"
"Joven","Mujer","Alquilada","Soltero","Lejos","18400","1","Baja","6","303","","18400","303"
"Joven","Hombre","Alquilada","Soltero","Cerca","25000","0","Baja","6","264","","25000","264"
"Adulto","Hombre","Propia","Casado","Lejos","61400","1","Alta","24","1575","","61400","1575"
"Adulto","Hombre","Propia","Casado","Cerca","76400","2","Media","18","881","","76400","881"
"Joven","Hombre","Propia","Casado","Cerca","55100","0","Media","18","1439","","55100","1439"
"Mayor","Mujer","Propia","Casado","Lejos","22800","0","NA","12","452","","22800","452"
"Mayor","Mujer","Propia","Casado","Cerca","10100","1","Baja","6","93","","10100","93"
"Joven","Hombre","Alquilada","Soltero","Cerca","17800","0","Baja","18","292","","17800","292"
"Adulto","Mujer","Propia","Casado","Cerca","59100","1","NA","6","1426","","59100","1426"
"Joven","Mujer","Alquilada","Soltero","Lejos","19700","2","Baja","6","330","","19700","330"
"Adulto","Hombre","Propia","Casado","Lejos","73800","0","Alta","24","3120","","73800","3120"
"Adulto","Hombre","Propia","Casado","Lejos","113300","1","Alta","18","5151","","113300","5151"
"Adulto","Hombre","Propia","Casado","Lejos","118400","2","NA","12","3941","","118400","3941"
"Adulto","Hombre","Propia","Casado","Cerca","92300","1","NA","24","2141","","92300","2141"
"Joven","Hombre","Alquilada","Soltero","Cerca","11200","0","NA","6","106","","11200","106"
"Joven","Mujer","Alquilada","Casado","Lejos","30100","0","Media","12","530","","30100","530"
"Adulto","Mujer","Propia","Soltero","Cerca","43500","1","Media","12","500","","43500","500"
"Adulto","Hombre","Propia","Casado","Cerca","97500","0","Alta","18","2837","","97500","2837"
"Mayor","Hombre","Propia","Casado","Cerca","54600","0","Media","24","1246","","54600","1246"
"Adulto","Hombre","Alquilada","Soltero","Lejos","42500","1","NA","6","798","","42500","798"
"Adulto","Hombre","Propia","Soltero","Cerca","82800","0","NA","6","1544","","82800","1544"
"Mayor","Hombre","Propia","Casado","Lejos","62300","0","Alta","24","2644","","62300","2644"
"Joven","Hombre","Alquilada","Soltero","Lejos","21900","2","NA","6","192","","21900","192"
"Adulto","Mujer","Alquilada","Soltero","Lejos","35600","3","Baja","18","865","","35600","865"
"Adulto","Hombre","Propia","Casado","Cerca","96900","0","Alta","6","1159","","96900","1159"
"Joven","Mujer","Alquilada","Casado","Cerca","36900","1","NA","18","1480","","36900","1480"
"Adulto","Mujer","Alquilada","Casado","Cerca","93500","1","Alta","18","1426","","93500","1426"
"Adulto","Hombre","Propia","Casado","Cerca","97300","1","NA","12","3048","","97300","3048"
"Joven","Hombre","Alquilada","Soltero","Cerca","21900","0","Baja","12","276","","21900","276"
"Adulto","Hombre","Alquilada","Soltero","Cerca","63000","0","Alta","24","1910","","63000","1910"
"Joven","Mujer","Alquilada","Soltero","Cerca","11500","3","NA","6","157","","11500","157"
"Adulto","Hombre","Propia","Soltero","Cerca","44600","2","Baja","6","236","","44600","236"
"Joven","Mujer","Alquilada","Soltero","Cerca","21900","1","NA","12","576","","21900","576"
"Adulto","Hombre","Alquilada","Soltero","Lejos","45100","1","Media","12","794","","45100","794"
"Mayor","Mujer","Propia","Casado","Cerca","74900","0","Alta","12","1474","","74900","1474"
"Joven","Hombre","Alquilada","Soltero","Cerca","14200","0","Baja","6","250","","14200","250"
"Joven","Mujer","Alquilada","Soltero","Lejos","23200","2","NA","24","788","","23200","788"
"Mayor","Hombre","Propia","Casado","Cerca","73300","0","NA","12","1694","","73300","1694"
"Mayor","Hombre","Propia","Casado","Lejos","41300","0","Alta","24","1985","","41300","1985"
"Mayor","Mujer","Propia","Soltero","Lejos","32700","0","Media","24","1252","","32700","1252"
"Mayor","Mujer","Propia","Soltero","Cerca","35200","0","NA","12","827","","35200","827"
"Joven","Mujer","Alquilada","Soltero","Cerca","13100","0","NA","18","314","","13100","314"
"Adulto","Hombre","Propia","Casado","Cerca","97400","1","Alta","6","880","","97400","880"
"Joven","Mujer","Alquilada","Soltero","Lejos","23100","2","Baja","6","466","","23100","466"
"Adulto","Hombre","Propia","Soltero","Cerca","49200","3","Baja","12","210","","49200","210"
"Adulto","Hombre","Propia","Soltero","Lejos","45000","1","NA","18","902","","45000","902"
"Adulto","Hombre","Propia","Casado","Cerca","87200","0","Alta","18","1274","","87200","1274"
"Adulto","Hombre","Propia","Soltero","Cerca","49900","1","NA","24","1631","","49900","1631"
"Adulto","Hombre","Propia","Casado","Cerca","66900","0","Alta","12","1220","","66900","1220"
"Adulto","Mujer","Propia","Soltero","Cerca","47600","1","Media","12","801","","47600","801"
"Adulto","Mujer","Propia","Soltero","Cerca","47900","0","NA","12","1090","","47900","1090"
"Adulto","Hombre","Propia","Soltero","Cerca","59400","0","Media","18","1699","","59400","1699"
"Adulto","Mujer","Alquilada","Soltero","Cerca","32700","2","Baja","6","273","","32700","273"
"Adulto","Hombre","Alquilada","Soltero","Cerca","34200","1","Baja","18","523","","34200","523"
"Adulto","Hombre","Propia","Casado","Cerca","96600","0","NA","12","1437","","96600","1437"
"Adulto","Mujer","Propia","Casado","Cerca","126300","1","Alta","6","1888","","126300","1888"
"Joven","Hombre","Alquilada","Soltero","Cerca","31600","1","NA","12","476","","31600","476"
"Adulto","Mujer","Propia","Casado","Lejos","108100","3","Alta","18","2632","","108100","2632"
"Adulto","Mujer","Alquilada","Soltero","Cerca","43300","3","Baja","24","326","","43300","326"
"Mayor","Mujer","Alquilada","Soltero","Lejos","17900","0","Baja","6","446","","17900","446"
"Adulto","Hombre","Propia","Soltero","Lejos","50100","1","Alta","18","1071","","50100","1071"
"Mayor","Mujer","Propia","Casado","Cerca","74700","0","Alta","12","1699","","74700","1699"
"Mayor","Hombre","Alquilada","Casado","Cerca","60000","0","Media","6","966","","60000","966"
"Joven","Hombre","Propia","Soltero","Cerca","33400","0","NA","12","567","","33400","567"
"Adulto","Mujer","Alquilada","Casado","Cerca","68800","0","NA","6","1658","","68800","1658"
"Adulto","Mujer","Alquilada","Soltero","Cerca","25700","2","Baja","6","173","","25700","173"
"Adulto","Hombre","Propia","Casado","Cerca","83700","0","Alta","24","3344","","83700","3344"
"Adulto","Hombre","Alquilada","Soltero","Cerca","50500","0","Media","12","1029","","50500","1029"
"Joven","Mujer","Alquilada","Soltero","Cerca","17300","0","Baja","12","345","","17300","345"
"Adulto","Hombre","Propia","Soltero","Cerca","45800","0","NA","6","712","","45800","712"
"Mayor","Hombre","Propia","Casado","Cerca","108900","0","Alta","12","1841","","108900","1841"
"Adulto","Mujer","Alquilada","Casado","Cerca","60500","2","Baja","6","409","","60500","409"
"Mayor","Mujer","Propia","Casado","Lejos","84100","0","Alta","18","2710","","84100","2710"
"Joven","Hombre","Alquilada","Casado","Lejos","25100","0","Media","12","592","","25100","592"
"Adulto","Hombre","Propia","Casado","Cerca","69900","1","NA","18","2101","","69900","2101"
"Adulto","Hombre","Propia","Casado","Cerca","97100","0","NA","12","1473","","97100","1473"
"Adulto","Mujer","Propia","Casado","Cerca","72200","2","Media","18","715","","72200","715"
"Mayor","Mujer","Propia","Casado","Lejos","78900","0","Alta","18","2233","","78900","2233"
"Adulto","Mujer","Propia","Soltero","Lejos","62500","3","NA","6","921","","62500","921"
"Joven","Mujer","Alquilada","Soltero","Cerca","17800","1","Baja","6","216","","17800","216"
"Adulto","Mujer","Propia","Casado","Cerca","105500","1","Alta","6","1781","","105500","1781"
"Adulto","Mujer","Propia","Soltero","Cerca","46100","2","Baja","12","418","","46100","418"
"Joven","Hombre","Alquilada","Soltero","Cerca","27100","1","Baja","12","268","","27100","268"
"Joven","Hombre","Alquilada","Casado","Lejos","60300","1","NA","6","1252","","60300","1252"
"Joven","Mujer","Alquilada","Soltero","Cerca","12000","0","Baja","6","140","","12000","140"
"Adulto","Mujer","Propia","Soltero","Cerca","48400","0","Media","12","992","","48400","992"
"Adulto","Hombre","Alquilada","Soltero","Cerca","45600","0","Media","18","1388","","45600","1388"
"Adulto","Mujer","Propia","Soltero","Cerca","35200","2","Baja","6","233","","35200","233"
"Adulto","Hombre","Alquilada","Soltero","Lejos","60200","0","Alta","24","2304","","60200","2304"
"Adulto","Mujer","Alquilada","Casado","Lejos","53900","1","Alta","18","2177","","53900","2177"
"Adulto","Hombre","Propia","Casado","Cerca","70400","2","NA","12","1127","","70400","1127"
"Joven","Hombre","Alquilada","Casado","Cerca","36900","0","Media","18","721","","36900","721"
"Mayor","Mujer","Propia","Soltero","Cerca","36100","0","Media","12","438","","36100","438"
"Joven","Mujer","Alquilada","Soltero","Cerca","11000","2","NA","18","393","","11000","393"
"Adulto","Hombre","Propia","Soltero","Cerca","61600","0","NA","18","1666","","61600","1666"
"Adulto","Hombre","Propia","Casado","Cerca","88700","1","NA","18","2448","","88700","2448"
"Adulto","Mujer","Propia","Casado","Lejos","88600","1","Alta","18","2563","","88600","2563"
"Adulto","Hombre","Alquilada","Casado","Cerca","79500","0","Alta","18","1763","","79500","1763"
"Joven","Mujer","Alquilada","Soltero","Cerca","18900","1","Baja","6","184","","18900","184"
"Mayor","Mujer","Propia","Soltero","Cerca","17300","0","Baja","6","166","","17300","166"
"Adulto","Mujer","Alquilada","Casado","Cerca","81400","2","NA","6","1014","","81400","1014"
"Joven","Hombre","Alquilada","Casado","Cerca","36500","0","Media","24","1140","","36500","1140"
"Adulto","Mujer","Propia","Soltero","Cerca","43300","1","NA","18","1021","","43300","1021"
"Adulto","Hombre","Propia","Casado","Cerca","76700","1","Media","24","1431","","76700","1431"
"Adulto","Hombre","Propia","Casado","Lejos","123000","1","Alta","24","5878","","123000","5878"
"Adulto","Hombre","Propia","Soltero","Cerca","56300","3","Baja","6","321","","56300","321"
"Adulto","Hombre","Propia","Casado","Cerca","70000","0","Alta","24","1974","","70000","1974"
