"Edad","Genero","CasaPropia","EstadoCiv","Ubicación","Salario","Niños","Historia","Catalogos","MontoDinero","","Salario","MontoDinero"
"Adulto","Hombre","Propia","Casado","Lejos","79700","1","Alta","24","3384","","79700","3384"
"Adulto","Hombre","Propia","Soltero","Cerca","45900","2","Baja","12","416","","45900","416"
"Mayor","Mujer","Propia","Casado","Cerca","42800","0","Media","6","685","","42800","685"
"Mayor","Hombre","Propia","Casado","Lejos","65500","0","Alta","24","1931","","65500","1931"
"Mayor","Mujer","Alquilada","Soltero","Cerca","33600","0","Media","12","573","","33600","573"
"Adulto","Mujer","Propia","Soltero","Lejos","55600","1","Alta","18","1553","","55600","1553"
"Joven","Mujer","Alquilada","Soltero","Cerca","24000","2","NA","6","362","","24000","362"
"Joven","Hombre","Alquilada","Soltero","Lejos","25700","0","Media","18","907","","25700","907"
"Mayor","Mujer","Propia","Casado","Cerca","21500","0","Baja","18","445","","21500","445"
"Mayor","Mujer","Alquilada","Casado","Cerca","68600","0","Alta","18","1342","","68600","1342"
"Joven","Mujer","Alquilada","Soltero","Lejos","23100","2","Baja","12","457","","23100","457"
"Adulto","Mujer","Alquilada","Casado","Cerca","53300","0","Media","24","1598","","53300","1598"
"Mayor","Mujer","Propia","Casado","Cerca","112800","0","Alta","12","1861","","112800","1861"
"Mayor","Hombre","Propia","Casado","Cerca","124900","0","Alta","18","4109","","124900","4109"
"Adulto","Mujer","Propia","Soltero","Cerca","72200","0","NA","18","3278","","72200","3278"
"Adulto","Hombre","Alquilada","Soltero","Cerca","35100","1","Baja","6","421","","35100","421"
"Mayor","Mujer","Alquilada","Soltero","Cerca","14900","0","NA","12","275","","14900","275"
"Adulto","Hombre","Alquilada","Soltero","Cerca","72000","0","Alta","12","1475","","72000","1475"
"Adulto","Hombre","Propia","Casado","Cerca","82400","0","Alta","18","1779","","82400","1779"
"Joven","Hombre","Alquilada","Casado","Cerca","41600","3","NA","24","1634","","41600","1634"
"Adulto","Mujer","Propia","Casado","Cerca","68500","2","NA","12","1500","","68500","1500"
"Joven","Hombre","Propia","Casado","Cerca","62200","0","Alta","24","1348","","62200","1348"
"Mayor","Mujer","Propia","Soltero","Cerca","35900","0","NA","12","962","","35900","962"
"Joven","Hombre","Alquilada","Soltero","Cerca","14100","0","Baja","12","328","","14100","328"
"Joven","Mujer","Alquilada","Casado","Cerca","36500","1","NA","18","747","","36500","747"
"Adulto","Mujer","Propia","Casado","Cerca","86400","1","Alta","12","1713","","86400","1713"
"Mayor","Mujer","Alquilada","Casado","Cerca","39500","0","Media","12","1006","","39500","1006"
"Mayor","Hombre","Propia","Casado","Cerca","85300","0","NA","12","2523","","85300","2523"
"Mayor","Mujer","Propia","Casado","Cerca","110700","0","Alta","12","2458","","110700","2458"
"Joven","Hombre","Alquilada","Soltero","Lejos","17700","0","Baja","18","742","","17700","742"
"Joven","Mujer","Alquilada","Casado","Lejos","33200","1","NA","24","1639","","33200","1639"
"Adulto","Mujer","Propia","Soltero","Cerca","53800","0","Media","12","843","","53800","843"
"Mayor","Hombre","Alquilada","Soltero","Cerca","44400","0","Media","18","886","","44400","886"
"Adulto","Mujer","Alquilada","Casado","Cerca","135700","1","Alta","24","2746","","135700","2746"
"Joven","Mujer","Alquilada","Soltero","Lejos","20700","1","Baja","12","550","","20700","550"
"Adulto","Hombre","Alquilada","Casado","Lejos","83500","2","Alta","24","2098","","83500","2098"
"Adulto","Mujer","Alquilada","Casado","Cerca","84200","2","Media","24","954","","84200","954"
"Adulto","Mujer","Alquilada","Casado","Cerca","79900","1","Media","12","1041","","79900","1041"
"Mayor","Mujer","Alquilada","Soltero","Lejos","19700","0","Baja","6","535","","19700","535"
"Adulto","Mujer","Alquilada","Soltero","Cerca","35300","0","NA","18","1369","","35300","1369"
"Mayor","Hombre","Propia","Casado","Lejos","52000","0","Alta","18","2545","","52000","2545"
"Joven","Hombre","Alquilada","Soltero","Cerca","21300","1","NA","12","329","","21300","329"
"Adulto","Hombre","Propia","Soltero","Cerca","63700","0","NA","6","1351","","63700","1351"
"Mayor","Mujer","Propia","Casado","Cerca","25900","0","Baja","18","582","","25900","582"
"Adulto","Hombre","Alquilada","Casado","Cerca","65800","2","Media","18","578","","65800","578"
"Mayor","Mujer","Alquilada","Soltero","Cerca","11000","0","NA","24","195","","11000","195"
"Mayor","Mujer","Alquilada","Casado","Cerca","65900","0","Alta","12","777","","65900","777"
"Adulto","Mujer","Propia","Casado","Cerca","108100","1","Alta","12","1133","","108100","1133"
"Adulto","Hombre","Propia","Casado","Cerca","107300","2","Media","18","1566","","107300","1566"
"Adulto","Mujer","Alquilada","Casado","Cerca","79500","0","Alta","12","1651","","79500","1651"
"Adulto","Mujer","Alquilada","Casado","Cerca","95900","0","NA","24","3168","","95900","3168"
"Adulto","Hombre","Alquilada","Soltero","Cerca","45200","1","Media","18","699","","45200","699"
"Adulto","Hombre","Propia","Casado","Cerca","98500","0","Alta","18","2034","","98500","2034"
"Mayor","Mujer","Propia","Casado","Cerca","96200","0","Alta","12","1457","","96200","1457"
"Joven","Hombre","Alquilada","Soltero","Cerca","17900","0","NA","18","395","","17900","395"
"Adulto","Hombre","Propia","Casado","Cerca","42700","0","Media","6","541","","42700","541"
"Adulto","Hombre","Propia","Soltero","Lejos","49700","0","Alta","24","2844","","49700","2844"
"Adulto","Mujer","Alquilada","Soltero","Cerca","43000","3","Baja","24","225","","43000","225"
"Joven","Mujer","Alquilada","Soltero","Cerca","15500","1","Baja","6","210","","15500","210"
"Joven","Hombre","Alquilada","Soltero","Cerca","13000","3","Baja","6","43","","13000","43"
"Adulto","Mujer","Alquilada","Soltero","Cerca","27200","3","Baja","24","243","","27200","243"
"Mayor","Mujer","Propia","Casado","Cerca","26700","0","Baja","24","1120","","26700","1120"
"Mayor","Hombre","Propia","Soltero","Lejos","61000","0","Alta","6","975","","61000","975"
"Adulto","Mujer","Propia","Casado","Cerca","76600","3","NA","24","2904","","76600","2904"
"Adulto","Hombre","Propia","Casado","Cerca","117500","2","Media","12","927","","117500","927"
"Mayor","Hombre","Propia","Casado","Cerca","90600","0","Alta","24","3167","","90600","3167"
"Joven","Mujer","Alquilada","Soltero","Lejos","12600","0","Baja","6","241","","12600","241"
"Mayor","Mujer","Propia","Soltero","Cerca","12700","2","Baja","6","65","","12700","65"
"Adulto","Mujer","Propia","Casado","Lejos","77600","3","Media","12","858","","77600","858"
"Adulto","Mujer","Alquilada","Casado","Lejos","92400","1","NA","6","2191","","92400","2191"
"Mayor","Mujer","Alquilada","Casado","Cerca","71800","0","Alta","24","1946","","71800","1946"
"Adulto","Hombre","Propia","Casado","Lejos","95800","3","NA","12","2581","","95800","2581"
"Joven","Mujer","Propia","Soltero","Cerca","32600","3","Baja","12","172","","32600","172"
"Adulto","Hombre","Propia","Casado","Cerca","74500","2","Media","12","824","","74500","824"
"Mayor","Mujer","Alquilada","Soltero","Cerca","29200","0","Baja","12","556","","29200","556"
"Joven","Mujer","Alquilada","Soltero","Lejos","12900","1","Baja","6","167","","12900","167"
"Adulto","Hombre","Alquilada","Casado","Cerca","117700","1","Alta","12","2104","","117700","2104"
"Adulto","Mujer","Propia","Casado","Cerca","64100","1","Media","18","1332","","64100","1332"
"Adulto","Mujer","Alquilada","Soltero","Cerca","46500","1","Media","24","829","","46500","829"
"Joven","Mujer","Alquilada","Soltero","Cerca","12400","1","NA","12","229","","12400","229"
"Adulto","Hombre","Propia","Casado","Lejos","130600","0","Alta","18","3442","","130600","3442"
"Adulto","Hombre","Propia","Casado","Lejos","74400","0","Alta","6","1893","","74400","1893"
"Mayor","Mujer","Propia","Soltero","Lejos","40600","2","Media","6","690","","40600","690"
"Joven","Mujer","Alquilada","Casado","Cerca","54200","1","Media","6","486","","54200","486"
"Adulto","Hombre","Propia","Soltero","Lejos","65400","1","Alta","12","2290","","65400","2290"
"Adulto","Hombre","Alquilada","Soltero","Cerca","49100","0","NA","6","934","","49100","934"
"Joven","Mujer","Alquilada","Soltero","Cerca","10600","2","NA","24","517","","10600","517"
"Joven","Mujer","Alquilada","Casado","Cerca","76400","0","NA","12","2216","","76400","2216"
"Adulto","Mujer","Alquilada","Casado","Cerca","93700","1","Alta","24","1521","","93700","1521"
"Adulto","Hombre","Alquilada","Soltero","Lejos","49000","0","Alta","18","1523","","49000","1523"
"Adulto","Mujer","Propia","Casado","Cerca","96500","1","Alta","18","1364","","96500","1364"
"Adulto","Hombre","Propia","Soltero","Cerca","55600","0","NA","12","952","","55600","952"
"Adulto","Hombre","Propia","Casado","Cerca","99600","1","Alta","6","871","","99600","871"
"Adulto","Mujer","Propia","Casado","Cerca","79900","3","Baja","12","295","","79900","295"
"Mayor","Mujer","Alquilada","Casado","Cerca","50500","0","Media","12","642","","50500","642"
"Mayor","Mujer","Propia","Soltero","Lejos","16300","0","Baja","6","317","","16300","317"
"Mayor","Mujer","Propia","Casado","Cerca","49200","0","Media","12","1078","","49200","1078"
"Adulto","Hombre","Propia","Soltero","Lejos","48100","2","Media","18","961","","48100","961"
"Adulto","Hombre","Propia","Soltero","Lejos","61300","2","Alta","24","1241","","61300","1241"
"Adulto","Mujer","Propia","Casado","Cerca","72600","1","NA","18","1999","","72600","1999"
"Joven","Hombre","Alquilada","Soltero","Lejos","19500","0","NA","24","571","","19500","571"
"Joven","Mujer","Alquilada","Soltero","Cerca","17200","1","NA","12","329","","17200","329"
"Adulto","Hombre","Alquilada","Soltero","Lejos","51100","0","Alta","24","1984","","51100","1984"
"Adulto","Hombre","Propia","Soltero","Cerca","76800","1","Media","18","1061","","76800","1061"
"Adulto","Hombre","Propia","Soltero","Lejos","60200","0","Alta","12","1955","","60200","1955"
"Adulto","Hombre","Alquilada","Soltero","Cerca","59100","2","Baja","18","580","","59100","580"
"Mayor","Mujer","Propia","Soltero","Cerca","32500","0","Media","24","883","","32500","883"
"Adulto","Mujer","Alquilada","Soltero","Lejos","49500","2","Media","12","1195","","49500","1195"
"Adulto","Hombre","Propia","Casado","Cerca","109600","1","Alta","12","2318","","109600","2318"
"Joven","Mujer","Alquilada","Casado","Cerca","47300","0","NA","6","640","","47300","640"
"Adulto","Hombre","Alquilada","Casado","Cerca","93000","1","Alta","24","2644","","93000","2644"
"Joven","Mujer","Propia","Soltero","Lejos","32000","1","NA","24","1320","","32000","1320"
"Joven","Mujer","Propia","Soltero","Cerca","44700","1","Media","6","502","","44700","502"
"Mayor","Mujer","Propia","Casado","Cerca","69400","0","Alta","18","2419","","69400","2419"
"Adulto","Hombre","Propia","Casado","Cerca","64300","2","Media","6","661","","64300","661"
"Adulto","Hombre","Propia","Soltero","Lejos","75400","0","Alta","24","2723","","75400","2723"
"Adulto","Hombre","Propia","Casado","Cerca","96100","0","Alta","6","1588","","96100","1588"
"Mayor","Mujer","Propia","Casado","Cerca","118000","3","Baja","12","581","","118000","581"
"Joven","Hombre","Alquilada","Casado","Cerca","69700","1","Media","12","1432","","69700","1432"
"Mayor","Hombre","Propia","Soltero","Cerca","59300","0","Media","12","929","","59300","929"
"Adulto","Mujer","Alquilada","Casado","Cerca","88600","3","Baja","6","212","","88600","212"
"Adulto","Hombre","Propia","Casado","Cerca","102600","0","Alta","18","2546","","102600","2546"
"Adulto","Hombre","Alquilada","Soltero","Cerca","43700","0","NA","18","1344","","43700","1344"
"Mayor","Mujer","Propia","Casado","Cerca","22400","0","NA","24","947","","22400","947"
"Adulto","Hombre","Alquilada","Casado","Lejos","70500","1","NA","24","2145","","70500","2145"
"Adulto","Hombre","Propia","Casado","Cerca","54200","1","Media","6","757","","54200","757"
"Adulto","Mujer","Propia","Soltero","Lejos","25300","1","NA","6","451","","25300","451"
"Mayor","Hombre","Propia","Casado","Cerca","116100","1","Alta","24","2975","","116100","2975"
"Joven","Mujer","Alquilada","Soltero","Cerca","15900","0","NA","18","406","","15900","406"
"Adulto","Mujer","Propia","Soltero","Cerca","46600","3","Baja","6","158","","46600","158"
"Joven","Hombre","Propia","Soltero","Cerca","23200","0","NA","24","534","","23200","534"
"Joven","Hombre","Alquilada","Soltero","Cerca","18200","0","Baja","12","401","","18200","401"
"Adulto","Mujer","Propia","Casado","Cerca","82700","1","Alta","18","1753","","82700","1753"
"Joven","Mujer","Alquilada","Soltero","Cerca","17000","0","Baja","18","659","","17000","659"
"Adulto","Hombre","Propia","Casado","Cerca","83000","2","Media","6","726","","83000","726"
"Joven","Mujer","Propia","Casado","Cerca","42400","1","NA","18","1166","","42400","1166"
"Mayor","Hombre","Propia","Soltero","Cerca","40200","2","NA","18","1197","","40200","1197"
"Joven","Mujer","Alquilada","Soltero","Lejos","17300","0","Baja","6","411","","17300","411"
"Adulto","Mujer","Propia","Casado","Cerca","109800","1","Alta","24","2258","","109800","2258"
"Adulto","Mujer","Propia","Soltero","Lejos","64400","3","Media","24","1913","","64400","1913"
"Joven","Mujer","Alquilada","Soltero","Lejos","27600","1","Media","24","893","","27600","893"
"Joven","Mujer","Alquilada","Soltero","Cerca","25100","1","NA","6","421","","25100","421"
"Adulto","Mujer","Propia","Soltero","Cerca","46300","3","NA","6","1138","","46300","1138"
"Mayor","Mujer","Propia","Casado","Lejos","74900","0","NA","12","1804","","74900","1804"
"Adulto","Hombre","Propia","Soltero","Cerca","67900","0","Alta","18","1418","","67900","1418"
"Adulto","Hombre","Alquilada","Casado","Cerca","88500","2","Media","24","1104","","88500","1104"
"Adulto","Hombre","Propia","Casado","Cerca","99200","3","NA","12","2796","","99200","2796"
"Mayor","Mujer","Propia","Casado","Cerca","62800","0","Alta","18","1403","","62800","1403"
"Mayor","Hombre","Propia","Casado","Lejos","76900","2","Alta","24","3230","","76900","3230"
"Adulto","Hombre","Propia","Casado","Cerca","84100","3","NA","6","1352","","84100","1352"
"Mayor","Mujer","Propia","Casado","Cerca","77600","0","Alta","18","2004","","77600","2004"
"Joven","Mujer","Alquilada","Soltero","Cerca","19100","1","Baja","18","403","","19100","403"
"Mayor","Mujer","Propia","Casado","Lejos","128700","0","Alta","24","3995","","128700","3995"
"Joven","Mujer","Alquilada","Soltero","Lejos","14400","1","Baja","6","390","","14400","390"
"Mayor","Hombre","Alquilada","Casado","Cerca","49600","0","Media","6","770","","49600","770"
"Adulto","Mujer","Alquilada","Soltero","Cerca","47000","0","NA","6","963","","47000","963"
"Joven","Mujer","Alquilada","Casado","Cerca","36600","0","Media","6","833","","36600","833"
"Adulto","Mujer","Propia","Soltero","Cerca","65800","1","Media","12","869","","65800","869"
"Adulto","Hombre","Alquilada","Casado","Lejos","52800","2","Media","12","926","","52800","926"
"Adulto","Hombre","Propia","Casado","Cerca","96500","0","Alta","24","3780","","96500","3780"
"Adulto","Mujer","Alquilada","Casado","Cerca","63500","1","Media","18","1023","","63500","1023"
"Adulto","Hombre","Alquilada","Soltero","Cerca","60400","1","Media","6","791","","60400","791"
"Adulto","Hombre","Propia","Casado","Cerca","102700","3","NA","12","1473","","102700","1473"
"Adulto","Hombre","Propia","Casado","Cerca","100100","2","NA","6","1597","","100100","1597"
"Adulto","Hombre","Alquilada","Soltero","Cerca","54400","0","Media","6","1150","","54400","1150"
"Adulto","Hombre","Alquilada","Casado","Cerca","105600","3","Baja","6","304","","105600","304"
"Mayor","Mujer","Propia","Casado","Lejos","57900","0","Alta","12","1693","","57900","1693"
"Joven","Hombre","Propia","Soltero","Cerca","31500","3","Baja","18","269","","31500","269"
"Adulto","Mujer","Alquilada","Casado","Lejos","60100","1","Alta","18","1430","","60100","1430"
"Adulto","Hombre","Alquilada","Casado","Cerca","87400","2","NA","18","2729","","87400","2729"
"Adulto","Hombre","Propia","Casado","Cerca","117900","0","Alta","6","1760","","117900","1760"
"Adulto","Hombre","Propia","Soltero","Cerca","48800","1","Media","24","1271","","48800","1271"
"Adulto","Mujer","Propia","Casado","Cerca","67900","3","Baja","12","356","","67900","356"
"Mayor","Hombre","Alquilada","Casado","Lejos","66200","0","NA","6","1024","","66200","1024"
"Adulto","Hombre","Alquilada","Casado","Cerca","88000","2","Media","6","524","","88000","524"
"Adulto","Hombre","Alquilada","Casado","Cerca","94200","1","Alta","18","1211","","94200","1211"
"Joven","Mujer","Alquilada","Soltero","Cerca","29200","3","NA","6","636","","29200","636"
"Joven","Hombre","Alquilada","Soltero","Lejos","15300","0","Baja","24","645","","15300","645"
"Joven","Hombre","Alquilada","Soltero","Lejos","17500","0","Baja","18","472","","17500","472"
"Mayor","Hombre","Propia","Casado","Cerca","168800","0","Alta","6","1512","","168800","1512"
"Adulto","Hombre","Alquilada","Soltero","Lejos","40200","0","Alta","18","1634","","40200","1634"
"Joven","Hombre","Alquilada","Soltero","Cerca","28400","3","Baja","18","182","","28400","182"
"Adulto","Hombre","Alquilada","Casado","Lejos","72200","3","Media","18","1042","","72200","1042"
"Adulto","Mujer","Propia","Soltero","Lejos","55200","0","Alta","18","1714","","55200","1714"
"Adulto","Mujer","Alquilada","Soltero","Cerca","44600","0","Media","18","966","","44600","966"
"Adulto","Hombre","Propia","Soltero","Cerca","58400","0","Media","12","829","","58400","829"
"Adulto","Mujer","Propia","Soltero","Cerca","67800","1","Media","6","680","","67800","680"
"Mayor","Mujer","Propia","Soltero","Cerca","25500","0","Baja","18","636","","25500","636"
"Joven","Mujer","Alquilada","Soltero","Lejos","20000","3","Baja","6","182","","20000","182"
"Adulto","Hombre","Alquilada","Soltero","Lejos","52600","1","NA","18","1773","","52600","1773"
"Adulto","Hombre","Alquilada","Casado","Lejos","97600","1","NA","12","2902","","97600","2902"
"Mayor","Hombre","Propia","Casado","Cerca","23400","0","Baja","6","348","","23400","348"
"Adulto","Mujer","Propia","Casado","Cerca","102500","3","Baja","12","548","","102500","548"
"Adulto","Mujer","Propia","Casado","Lejos","52300","1","Alta","18","2034","","52300","2034"
"Adulto","Hombre","Alquilada","Soltero","Lejos","65400","0","Alta","12","2296","","65400","2296"
"Joven","Hombre","Alquilada","Soltero","Cerca","19600","0","Baja","12","395","","19600","395"
"Mayor","Hombre","Propia","Casado","Lejos","37000","0","Media","12","850","","37000","850"
"Joven","Mujer","Alquilada","Soltero","Lejos","13200","0","NA","18","512","","13200","512"
"Adulto","Hombre","Alquilada","Soltero","Cerca","63800","1","Media","24","1622","","63800","1622"
"Mayor","Mujer","Alquilada","Soltero","Lejos","22600","0","NA","12","865","","22600","865"
"Mayor","Mujer","Propia","Soltero","Cerca","37300","0","Media","6","673","","37300","673"
"Joven","Hombre","Alquilada","Soltero","Lejos","14900","1","NA","12","422","","14900","422"
"Adulto","Mujer","Propia","Soltero","Cerca","36700","1","NA","6","529","","36700","529"
"Adulto","Hombre","Propia","Soltero","Cerca","63200","0","Alta","24","1932","","63200","1932"
"Mayor","Hombre","Propia","Casado","Cerca","77300","0","Alta","18","1853","","77300","1853"
"Adulto","Hombre","Alquilada","Soltero","Cerca","43100","1","NA","12","1224","","43100","1224"
"Adulto","Mujer","Alquilada","Soltero","Lejos","44800","1","Media","6","666","","44800","666"
"Mayor","Mujer","Alquilada","Casado","Cerca","70900","0","Alta","24","1685","","70900","1685"
"Adulto","Mujer","Alquilada","Soltero","Lejos","38200","0","Media","24","1476","","38200","1476"
"Joven","Mujer","Alquilada","Soltero","Lejos","18400","1","Baja","6","319","","18400","319"
"Adulto","Mujer","Alquilada","Soltero","Cerca","40700","3","Baja","18","232","","40700","232"
"Mayor","Hombre","Propia","Soltero","Cerca","71300","0","Alta","18","1543","","71300","1543"
"Adulto","Mujer","Alquilada","Soltero","Cerca","36400","2","Baja","18","506","","36400","506"
"Joven","Hombre","Alquilada","Soltero","Cerca","15400","0","Baja","6","172","","15400","172"
"Adulto","Hombre","Propia","Soltero","Lejos","39100","1","Media","12","1001","","39100","1001"
"Adulto","Hombre","Alquilada","Soltero","Cerca","43800","0","Media","12","606","","43800","606"
"Joven","Hombre","Alquilada","Soltero","Lejos","25300","0","Media","12","591","","25300","591"
"Mayor","Hombre","Alquilada","Casado","Cerca","71800","0","Alta","12","1389","","71800","1389"
"Adulto","Hombre","Propia","Soltero","Cerca","73200","0","Alta","24","2177","","73200","2177"
"Adulto","Hombre","Propia","Casado","Lejos","79000","1","Alta","18","2279","","79000","2279"
"Adulto","Mujer","Alquilada","Casado","Cerca","75200","1","NA","24","2702","","75200","2702"
"Joven","Mujer","Alquilada","Soltero","Cerca","25300","3","NA","6","510","","25300","510"
"Mayor","Mujer","Propia","Casado","Cerca","43600","0","Media","12","1047","","43600","1047"
"Adulto","Hombre","Propia","Casado","Cerca","83600","2","Media","6","538","","83600","538"
"Adulto","Mujer","Propia","Soltero","Lejos","56200","0","Alta","18","1546","","56200","1546"
"Joven","Hombre","Alquilada","Casado","Cerca","45500","0","Media","6","754","","45500","754"
"Adulto","Hombre","Propia","Casado","Cerca","99300","1","Alta","12","1504","","99300","1504"
"Adulto","Hombre","Propia","Casado","Lejos","108000","3","Alta","24","1849","","108000","1849"
"Adulto","Mujer","Propia","Casado","Lejos","84900","1","Alta","24","3072","","84900","3072"
"Adulto","Hombre","Propia","Casado","Lejos","93000","3","Alta","6","1046","","93000","1046"
"Adulto","Mujer","Propia","Casado","Cerca","82000","0","Alta","18","1800","","82000","1800"
"Mayor","Mujer","Propia","Soltero","Cerca","33000","3","NA","6","700","","33000","700"
"Adulto","Mujer","Propia","Soltero","Cerca","36900","2","Baja","24","514","","36900","514"
"Adulto","Mujer","Alquilada","Soltero","Cerca","33200","1","NA","6","320","","33200","320"
"Joven","Hombre","Alquilada","Casado","Cerca","49300","0","NA","24","1692","","49300","1692"
"Mayor","Hombre","Alquilada","Casado","Lejos","66200","0","Alta","24","2057","","66200","2057"
"Adulto","Hombre","Propia","Casado","Lejos","96800","2","Alta","18","2299","","96800","2299"
"Mayor","Hombre","Propia","Soltero","Cerca","63200","0","Alta","24","1507","","63200","1507"
"Mayor","Hombre","Propia","Casado","Lejos","112900","0","Alta","24","6217","","112900","6217"
"Adulto","Mujer","Alquilada","Soltero","Cerca","32100","2","Baja","24","405","","32100","405"
"Adulto","Hombre","Propia","Casado","Lejos","102700","1","Alta","18","3785","","102700","3785"
"Adulto","Hombre","Propia","Casado","Cerca","123800","2","NA","18","3537","","123800","3537"
"Mayor","Mujer","Alquilada","Soltero","Lejos","11700","0","Baja","18","540","","11700","540"
"Adulto","Hombre","Propia","Casado","Cerca","101700","1","NA","6","941","","101700","941"
"Adulto","Mujer","Propia","Casado","Lejos","99200","0","Alta","24","5503","","99200","5503"
"Joven","Hombre","Alquilada","Soltero","Cerca","17600","0","NA","6","273","","17600","273"
"Joven","Mujer","Alquilada","Soltero","Cerca","19400","1","NA","18","384","","19400","384"
"Adulto","Hombre","Alquilada","Soltero","Lejos","40500","1","NA","18","1073","","40500","1073"
"Mayor","Hombre","Propia","Soltero","Cerca","44800","0","Media","24","1417","","44800","1417"
"Adulto","Hombre","Propia","Casado","Cerca","79000","2","Media","18","671","","79000","671"
"Joven","Hombre","Alquilada","Casado","Cerca","53600","1","Media","24","973","","53600","973"
